pheno	meanratio	sdratio	meanr2	sdr2	meanmddr2	sdmddr2	lower	upper
109	livew.sibling.baseline	0.105470180530805	0.0670249828444001	0.0013283536	0.000774480139758879	0.013320245	0.00298567370798638	-0.0258987858442192	0.236839146905829
110	livew.spouse.baseline	0.0272597274756868	0.0200314622089453	0.00034295984	0.00021602176154625	0.013320245	0.00298567370798638	-0.0120019384538459	0.0665213934052196
111	livew.unrelated.baseline	0.0500389178005599	0.0263798732027546	0.0006379047	0.000327432609400282	0.013320245	0.00298567370798638	-0.00166563367683911	0.101743469277959
112	maternalsmokingatbirth.baseline	0.0585502915260961	0.0387378112886074	0.00069784268	0.000368062912902312	0.013320245	0.00298567370798638	-0.0173758185995744	0.134476401651767
113	miles.towork.baseline	0.0114869960562397	0.00357469231498623	0.0001530716	5.61158010292605e-05	0.013320245	0.00298567370798638	0.00448059911886669	0.0184933929936127
114	mobileuse.baseline	0.00994246430813682	0.00828521533630748	0.00012113172	7.99633062837338e-05	0.013320245	0.00298567370798638	-0.00629655775102583	0.0261814863672995
115	mobileuseweekly.baseline	0.0142469428610549	0.0114119106779798	0.00017559892	0.000130507678119053	0.013320245	0.00298567370798638	-0.00812040206778552	0.0366142877898952
116	mother.age	0.0504786064570624	0.0203727040245282	0.0006467034	0.000236488028544176	0.013320245	0.00298567370798638	0.010548106568987	0.0904091063451377
117	mother.ageatdeath	0.0264779493653671	0.0173611931085468	0.0003264758	0.000173684981337414	0.013320245	0.00298567370798638	-0.0075499891273847	0.0605058878581188
118	mother.alive	0.0105825801502869	0.0100172515878692	0.00012517251	9.34006158717912e-05	0.013320245	0.00298567370798638	-0.00905123296193665	0.0302163932625105
119	mother.alzheimers	0.0214020104890698	0.00957509153102057	0.0002743646	0.000109295249923417	0.013320245	0.00298567370798638	0.00263483108826947	0.0401691898898701
120	mother.bowelcancer	0.0332258072252097	0.0192121690681602	0.0004077368	0.000173407267716334	0.013320245	0.00298567370798638	-0.00443004414838423	0.0708816585988036
121	mother.breastcancer	0.0187144567481168	0.00830332403417318	0.00025345732	0.000131241571751237	0.013320245	0.00298567370798638	0.00243994164113736	0.0349889718550962
122	mother.bronchitis	0.0649699242309512	0.042793840101061	0.0008293963	0.000528421168919273	0.013320245	0.00298567370798638	-0.0189060023671284	0.148845850829031
